x,y
1494,0.017373706
1498,0.0124359
1502,0.007844019
1506,0.003915653
1510,0.000824385
1514,0
1518,0
1522,0
1526,0
1530,0
1534,0
1538,0
1542,0
1546,6.43E-05
1550,0.000235438
1554,0.000249375
1558,0.00023515
1562,0.000257476
1566,0.000305977
1570,0.000357564
1574,0.00035888
1578,0.000384796
1582,0.000411285
1586,0.000433359
1590,0.000518277
1594,0.00059542
1598,0.000652316
1602,0.000713099
1606,0.000741752
1610,0.000765075
1614,0.000769226
1618,0.000772988
1622,0.000746719
1626,0.000762922
1630,0.00075577
1634,0.000728442
1638,0.000704472
1642,0.000723713
1646,0.000667358
1650,0.000667218
1654,0.000605528
1658,0.000553902
1662,0.000483134
1666,0.000440249
1670,0.000377775
1674,0.000283428
1678,0.000233104
1682,0.000191383
1686,0.00022545
1690,0.000250668
1694,0.000271663
1698,0.000285699
1702,0.000310307
1706,0.000361394
1710,0.000432806
1714,0.000458293
1718,0.000455326
1722,0.000477704
1726,0.000497557
1730,0.000525488
1734,0.000522132
1738,0.000496691
1742,0.000508787
1746,0.000542324
1750,0.000535932
1754,0.000513482
1758,0.000531825
1762,0.000510803
1766,0.000502221
1770,0.000485277
1774,0.000462627
1778,0.00043154
1782,0.000415106
1786,0.000423844
1790,0.000432542
1794,0.000393808
1798,0.000398582
1802,0.000406895
1806,0.000421349
1810,0.000432317
1814,0.000394603
1818,0.000385426
1822,0.000435641
1826,0.000471915
1830,0.000492834
1834,0.000448512
1838,0.00040421
1842,0.000398675
1846,0.000400768
1850,0.00039501
1854,0.000380396
1858,0.000359917
1862,0.000364025
1866,0.000361021
1870,0.000355959
1874,0.000358481
1878,0.000403806
1882,0.000450969
1886,0.000544476
1890,0.000591712
1894,0.000642385
1898,0.00067128
1902,0.000753053
1906,0.000827489
1910,0.000834359
1914,0.000846366
1918,0.000872353
1922,0.000892329
1926,0.000862249
1930,0.000838642
1934,0.000767995
1938,0.000752912
1942,0.000736488
1946,0.000675327
1950,0.000586345
1954,0.000486742
1958,0.000427442
1962,0.000345889
1966,0.000272833
1970,0.00021165
1974,0.000158234
1978,0.000112073
1982,9.40E-05
1986,0.000104998
1990,0.000128985
1994,0.000178356
1998,0.000261092
2002,0.000390185
2006,0.000500949
2010,0.000582832
2014,0.000667418
2018,0.00073768
2022,0.000796907
2026,0.000799476
2030,0.000772506
2034,0.000796987
2038,0.000801678
2042,0.000797007
2046,0.000740299
2050,0.000723669
2054,0.000728093
2058,0.000737277
2062,0.000736009
2066,0.000721967
2070,0.000695455
2074,0.000714141
2078,0.000692862
2082,0.000673926
2086,0.00067104
2090,0.000688134
2094,0.00071691
2098,0.000775419
2102,0.000823205
2106,0.000861475
2110,0.000893453
2114,0.000912423
2118,0.000935152
2122,0.00093723
2126,0.00090636
2130,0.000872659
2134,0.000837504
2138,0.000763981
2142,0.00063852
2146,0.000544276
2150,0.000493203
2154,0.000479415
2158,0.000455561
2162,0.000413985
2166,0.000408471
2170,0.000424098
2174,0.000413367
2178,0.00038413
2182,0.000382666
2186,0.000417397
2190,0.000480639
2194,0.000538202
2198,0.000515692
2202,0.000558057
2206,0.000602054
2210,0.000658742
2214,0.000701073
2218,0.000721257
2222,0.000745861
2226,0.000781081
2230,0.000795609
2234,0.000791093
2238,0.000773314
2242,0.000736264
2246,0.000758794
2250,0.000781014
2254,0.000721471
2258,0.000616326
2262,0.00051695
2266,0.000495239
2270,0.000458761
2274,0.000415506
2278,0.000362566
2282,0.000332534
2286,0.000400223
2290,0.000500353
2294,0.00046503
2298,0.000492937
2302,0.00061001
2306,0.000756113
2310,0.00085874
2314,0.000970707
2318,0.001082228
2322,0.001247516
2326,0.001364479
2330,0.001447473
2334,0.001490055
2338,0.001545601
2342,0.001645474
2346,0.001705917
2350,0.001729768
2354,0.001716899
2358,0.001692517
2362,0.00166055
2366,0.001638459
2370,0.001570254
2374,0.001439214
2378,0.001332767
2382,0.001265067
2386,0.001211385
2390,0.001097498
2394,0.000972744
2398,0.000880454
2402,0.000808604
2406,0.000792136
2410,0.000692528
2414,0.000513262
2418,0.000486626
2422,0.000475292
2426,0.000471171
2430,0.000411802
2434,0.000408092
2438,0.00039087
2442,0.000381287
2446,0.000379458
2450,0.000332472
2454,0.000300541
2458,0.000308936
2462,0.000331533
2466,0.000382873
2470,0.000401861
2474,0.000407761
2478,0.000438473
2482,0.000485003
2486,0.000610283
2490,0.000674312
2494,0.000726617
2498,0.000795963
2502,0.000893952
2506,0.00094033
2510,0.00091585
2514,0.000866677
2518,0.000869696
2522,0.000880077
2526,0.000874074
2530,0.000835623
2534,0.000813299
2538,0.000781374
2542,0.000802488
2546,0.000845235
2550,0.000856637
2554,0.000944147
2558,0.001103521
2562,0.001284326
2566,0.001485186
2570,0.00159034
2574,0.001755532
2578,0.001907578
2582,0.002083883
2586,0.002228067
2590,0.002278381
2594,0.002313656
2598,0.002387289
2602,0.002482519
2606,0.002546631
2610,0.002592293
2614,0.002670565
2618,0.00283818
2622,0.003158288
2626,0.003409309
2630,0.003655579
2634,0.00390366
2638,0.004202303
2642,0.004440674
2646,0.004618012
2650,0.004758138
2654,0.00484509
2658,0.004962088
2662,0.005126259
2666,0.005150601
2670,0.005161888
2674,0.005217008
2678,0.00526632
2682,0.005192686
2686,0.004991117
2690,0.004619729
2694,0.004316106
2698,0.003863002
2702,0.003388266
2706,0.002837856
2710,0.002299623
2714,0.001769787
2718,0.001401032
2722,0.001044438
2726,0.000693705
2730,0.000512169
2734,0.000485101
2738,0.000650662
2742,0.000953017
2746,0.001187711
2750,0.001481902
2754,0.001838833
2758,0.002236958
2762,0.002552615
2766,0.002838414
2770,0.003015593
2774,0.003119018
2778,0.0030488
2782,0.002385601
2786,0.000947126
2790,0
2794,0
2798,0
2802,0
2806,0
2810,0
2814,0.006620694
2818,0.017813714
2822,0.031835835
2826,0.047211065
2830,0.062880567
2834,0.077870486
2838,0.091028481
2842,0.101574821
2846,0.109253634
2850,0.113801817
2854,0.115127009
2858,0.113619484
2862,0.10966885
2866,0.103122942
2870,0.09417983
2874,0.084230904
